Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
DL,9,Jeffery Simmons,TEN,9,52.1,70.8,99.1,26.6,96,4.4,0.0858,1,29,,5.83,105,6,14.2,,47,7
DL,10,Chase Young,NO,8,60.1,70.7,81.1,10.9,9,4.32,2.74,1,27,,9.48,106,7,26.9,,21,6
DL,11,Nick Bosa,SF,8,57.6,67.9,86.2,17,38,1.58,0.902,1,28,,9.94,122,8,5.62,Q,28.6,7
DL,12,Byron Young,LAR,11,51,67,81.6,22.3,99,0.674,0.674,1,28,,,126,9,,,30.6,3
DL,13,Alex Highsmith,PIT,9,57.1,66.4,82.2,14.8,29,0,0.595,1,29,,11.2,130,10,17.8,,25.1,6
DL,14,Alex Highsmith,PIT,9,57.1,66.4,82.2,14.8,42,0,0.595,1,29,,11.2,130,10,53.6,,25.1,6
DL,15,T.J. Watt,PIT,9,54.6,65.8,83.7,16.8,34,-0.595,0.273,1,31,,18.1,135,11,7.46,,29.1,9
DL,16,T.J. Watt,PIT,9,54.6,65.8,83.7,16.8,63,-0.595,0.273,1,31,,18.1,135,11,33.9,,29.1,9
DL,17,Jared Verse,CLE,11,56.1,65.5,79.3,13,15,-0.868,0.0674,1,25,173,,137,12,14.8,,23.2,2
DL,18,Jared Verse,CLE,11,56.1,65.5,79.3,13,48,-0.868,0.0674,1,25,173,,137,12,50.6,,23.2,2
DL,19,Will Anderson,HOU,8,55,65.4,81.5,15,27,-0.936,0.848,1,24,90.6,17.4,138,13,3.77,,26.5,3
DL,20,Tuli Tuipulotu,LAC,7,57.1,64.6,75.8,10.5,3,-1.78,0.929,1,23,,9.6,147,14,15.6,,18.7,3
DL,21,Tuli Tuipulotu,LAC,7,57.1,64.6,75.8,10.5,10,-1.78,0.929,1,23,,9.6,147,14,49.1,,18.7,3
DL,22,Tommy Togiai,HOU,8,46.3,63.7,79.4,24,93,-2.71,0.0887,1,26,,3.14,153,15,106,,33.1,5
DL,23,Danielle Hunter,HOU,8,54.3,63.6,78.4,13.9,17,-2.8,3.84,2,31,,11.7,154,16,7.23,,24.1,11
DL,24,Danielle Hunter,HOU,8,54.3,63.6,78.4,13.9,30,-2.8,3.84,2,31,,11.7,154,16,34,,24.1,11
DL,25,Josh Allen,JAC,7,50.1,59.7,74.7,14.1,22,-6.64,0.479,2,29,,5.38,176,17,13.8,,24.6,7
DL,26,Josh Allen,JAC,7,50.1,59.7,74.7,14.1,33,-6.64,0.479,2,29,,5.38,176,17,46.7,,24.6,7
DL,27,Jonathan Greenard,PHI,10,47.4,59.2,75.7,15.6,39,-7.12,0.0289,2,29,,,180,18,29.5,O,28.3,6
DL,28,Jonathan Greenard,PHI,10,47.4,59.2,75.7,15.6,80,-7.12,0.0289,2,29,,,180,18,86,O,28.3,6
DL,29,Derrick Brown,CAR,5,46.1,59.2,82.4,21.6,79,-7.15,0.951,2,28,,8.06,182,19,42.3,Q,36.3,6
DL,30,DeForest Buckner,IND,13,41,58.3,84,24.2,92,-8.1,0.513,2,32,,8.59,187,20,25.5,,43,10
DL,31,Trey Hendrickson,BAL,13,48.9,57.8,68.2,10.2,4,-8.61,0.0124,2,31,,6.7,189,21,19.8,,19.3,9
DL,32,Trey Hendrickson,BAL,13,48.9,57.8,68.2,10.2,21,-8.61,0.0124,2,31,,6.7,189,21,61.7,,19.3,9
DL,33,Laiatu Latu,IND,13,46.4,57.7,66.8,10.8,6,-8.62,0.991,2,25,,,190,22,15.9,,20.4,2
DL,34,Carl Granderson,NO,8,47.1,56.8,70.7,13.1,24,-9.61,0.0261,2,29,,,195,23,53.4,,23.6,7
DL,35,Carl Granderson,NO,8,47.1,56.8,70.7,13.1,70,-9.61,0.0261,2,29,,,195,23,92,,23.6,7
DL,36,Nik Bonitto,DEN,10,49.3,56.7,65.9,8.88,2,-9.64,0.347,2,26,171,11.1,196,24,12.5,,16.6,4
DL,37,Nik Bonitto,DEN,10,49.3,56.7,65.9,8.88,25,-9.64,0.347,2,26,171,11.1,196,24,50.3,,16.6,4
DL,38,Demarcus Lawrence,SEA,11,45.7,56.4,73.9,16.4,51,-9.99,0.868,2,34,,3.31,201,25,46.6,,28.2,12
DL,39,Demarcus Lawrence,SEA,11,45.7,56.4,73.9,16.4,97,-9.99,0.868,2,34,,3.31,201,25,91,,28.2,12
DL,40,Travon Walker,JAC,7,43.7,55.5,74.3,17.6,54,-10.9,0.075,2,25,,,208,26,34.6,,30.6,4
DL,41,Travon Walker,JAC,7,43.7,55.5,74.3,17.6,66,-10.9,0.075,2,25,,,208,26,93.3,,30.6,4
DL,42,Dallas Turner,MIN,6,41.1,55.4,79.3,22.3,82,-10.9,0.142,2,23,,,209,27,23.6,,38.2,2
DL,43,Dallas Turner,MIN,6,41.1,55.4,79.3,22.3,91,-10.9,0.142,2,23,,,209,27,59.6,,38.2,2
DL,44,Cameron Heyward,PIT,9,41.7,55.3,75,18.5,65,-11.1,0.473,2,37,,2.66,211,28,35.6,,33.3,15
DL,45,Montez Sweat,CHI,10,40.3,54.8,68.8,14.7,26,-11.5,0.521,2,29,,,216,29,21.7,Q,28.5,7
DL,46,Myles Murphy,CIN,6,44.3,54.3,64,10.3,19,-12.1,0.613,2,24,,5.09,220,30,60.3,,19.7,3
DL,47,Gregory Rousseau,BUF,7,41.1,53.7,71.9,17.2,44,-12.7,0.107,2,26,,,229,31,27.6,,30.8,5
DL,48,Gregory Rousseau,BUF,7,41.1,53.7,71.9,17.2,73,-12.7,0.107,2,26,,,229,31,80.4,,30.8,5
DL,49,YaYa Diaby,TB,10,45.9,53.6,66.4,12,43,-12.8,1.31,2,27,,,231,32,50.4,,20.5,3
DL,50,YaYa Diaby,TB,10,45.9,53.6,66.4,12,64,-12.8,1.31,2,27,,,231,32,91,,20.5,3
DL,51,Jordan Davis,PHI,10,37.4,52.3,75.6,21.9,83,-14.1,0.651,2,26,,8.69,245,33,80.2,,38.2,4
DL,52,George Karlaftis,KC,5,40.8,51.6,70,17.2,46,-14.7,0.0337,2,25,,,251,34,26.9,,29.2,4
DL,53,Harold Landry,NE,11,33.7,51.6,67.6,17.5,89,-14.8,0.323,2,30,,,252,35,42.9,O,33.9,8
DL,54,Harold Landry,NE,11,33.7,51.6,67.6,17.5,85,-14.8,0.323,2,30,,,252,35,82.6,O,33.9,8
DL,55,Jalen Redmond,MIN,6,36.2,51.3,75,22.2,74,-15.1,0.263,2,27,,,254,36,53.6,,38.8,4
DL,56,Jadeveon Clowney,HOU,8,,51,,,,-15.4,0.254,2,33,,,258,37,,,,12
DL,57,Leonard Williams,SEA,11,33.5,50.7,68.4,18.1,52,-15.6,0.145,2,32,,,261,38,29,,34.9,11
DL,58,James Pearce,ATL,11,40.3,50.6,60.9,10.8,36,-15.8,0.00344,2,22,,,264,39,73,,20.6,1
DL,59,James Pearce,ATL,11,40.3,50.6,60.9,10.8,57,-15.8,0.00344,2,22,,,264,39,109,,20.6,1
DL,60,David Bailey,NYJ,13,42.3,50.6,64.9,13.4,84,-15.8,0.436,2,22,,,265,40,60.5,,22.6,0
