scoring,source,season,last_updated,ranking,player,position,position_rank,team,bye,tier,rank_best,rank_worst,rank_average,rank_stddev,adp_rank,player_id,fantasypros_url
ppr,FantasyPros ECR,2026,8/13,97,Bo Nix,QB,QB13,DEN,10,8,70,125,101.11,9.18,114,22910,https://www.fantasypros.com/nfl/players/bo-nix.php
ppr,FantasyPros ECR,2026,8/13,98,Kenny Gainwell,RB,RB33,TB,10,8,77,146,101.26,13.95,101,23310,https://www.fantasypros.com/nfl/players/kenneth-gainwell.php
ppr,FantasyPros ECR,2026,8/13,99,Jakobi Meyers,WR,WR44,JAC,7,8,62,158,101.56,18.46,97,18598,https://www.fantasypros.com/nfl/players/jakobi-meyers.php
ppr,FantasyPros ECR,2026,8/13,100,Patrick Mahomes II,QB,QB14,KC,5,8,70,129,101.62,10.68,100,16413,https://www.fantasypros.com/nfl/players/patrick-mahomes.php
ppr,FantasyPros ECR,2026,8/13,101,Quentin Johnston,WR,WR45,LAC,7,8,62,128,102.70,14.89,104,23123,https://www.fantasypros.com/nfl/players/quentin-johnston.php
ppr,FantasyPros ECR,2026,8/13,102,J.K. Dobbins,RB,RB34,DEN,10,8,72,143,102.76,16.06,90,19245,https://www.fantasypros.com/nfl/players/jk-dobbins.php
ppr,FantasyPros ECR,2026,8/13,103,Kyle Monangai,RB,RB35,CHI,10,8,78,141,103.24,13.04,95,27131,https://www.fantasypros.com/nfl/players/kyle-monangai.php
ppr,FantasyPros ECR,2026,8/13,104,Matthew Stafford,QB,QB15,LAR,11,8,63,134,103.65,13.22,94,9451,https://www.fantasypros.com/nfl/players/matthew-stafford.php
ppr,FantasyPros ECR,2026,8/13,105,Jared Goff,QB,QB16,DET,6,8,59,124,106.70,11.49,121,15501,https://www.fantasypros.com/nfl/players/jared-goff.php
ppr,FantasyPros ECR,2026,8/13,106,George Kittle,TE,TE10,SF,8,8,73,229,107.55,22.57,93,16499,https://www.fantasypros.com/nfl/players/george-kittle.php
ppr,FantasyPros ECR,2026,8/13,107,Jonathon Brooks,RB,RB36,CAR,5,8,75,243,108.59,32.35,106,26148,https://www.fantasypros.com/nfl/players/jonathon-brooks.php
ppr,FantasyPros ECR,2026,8/13,108,Jordan Addison,WR,WR46,MIN,6,8,69,149,108.99,13.36,109,23107,https://www.fantasypros.com/nfl/players/jordan-addison.php
ppr,FantasyPros ECR,2026,8/13,109,Rachaad White,RB,RB37,WAS,7,8,75,146,109.43,15.91,108,23891,https://www.fantasypros.com/nfl/players/rachaad-white.php
ppr,FantasyPros ECR,2026,8/13,110,Jayden Reed,WR,WR47,GB,11,8,80,149,110.38,13.58,119,23020,https://www.fantasypros.com/nfl/players/jayden-reed.php
ppr,FantasyPros ECR,2026,8/13,111,Blake Corum,RB,RB38,LAR,11,8,84,145,111.33,13.25,102,23013,https://www.fantasypros.com/nfl/players/blake-corum.php
ppr,FantasyPros ECR,2026,8/13,112,Jake Ferguson,TE,TE11,DAL,14,8,73,160,113.18,15.74,113,22718,https://www.fantasypros.com/nfl/players/jake-ferguson.php
ppr,FantasyPros ECR,2026,8/13,113,Aaron Jones Sr.,RB,RB39,MIN,6,8,77,141,113.45,13.79,111,16673,https://www.fantasypros.com/nfl/players/aaron-jones.php
ppr,FantasyPros ECR,2026,8/13,114,Dalton Kincaid,TE,TE12,BUF,7,8,95,155,114.26,14.83,123,25247,https://www.fantasypros.com/nfl/players/dalton-kincaid.php
ppr,FantasyPros ECR,2026,8/13,115,Kyler Murray,QB,QB17,MIN,6,8,92,134,114.70,9.43,135,18600,https://www.fantasypros.com/nfl/players/kyler-murray.php
ppr,FantasyPros ECR,2026,8/13,116,Isaiah Likely,TE,TE13,NYG,8,8,85,229,117.09,26.12,112,23781,https://www.fantasypros.com/nfl/players/isaiah-likely.php
ppr,FantasyPros ECR,2026,8/13,117,Baker Mayfield,QB,QB18,TB,10,8,74,136,117.38,9.49,133,17237,https://www.fantasypros.com/nfl/players/baker-mayfield.php
